459610,12,

7th
MATH,97,92,97,92,94,93,
ENG,75,78,77,80,79,77,
SCI,94,93,92,91,90,92,
SOC,86,87,89,88,86,86,
PE,95,96,98,99,96,96,
ART,85,84,82,86,86,84,

8th
MATH,100,95,99,97,96,97,
ENG,77,77,74,79,78,77,
SCI,89,90,87,87,87,87,
SOC,91,89,91,88,91,91,
PE,98,97,100,98,97,99,
ART,83,84,80,80,84,80,

9th
MATH,100,100,99,100,99,100,
ENG,76,76,77,77,74,76,
SCI,85,87,89,85,87,85,
SOC,86,89,87,90,91,90,
PE,99,99,100,100,99,100,
ART,82,78,81,77,82,80,

10th
MATH,100,100,100,100,100,100,
ENG,74,75,70,75,70,74,
SCI,89,91,91,89,94,93,
SOC,86,88,88,86,91,86,
PE,100,100,100,100,100,100,
ART,80,82,80,77,77,77,

11th
MATH,100,100,100,100,100,100,
ENG,73,73,72,73,72,71,
SCI,90,93,95,95,92,93,
SOC,86,91,88,89,89,90,
PE,100,100,100,100,100,100,
ART,79,81,77,82,80,79,
